`,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1
03/26/2022,17:42,QUEENS,11420,40.675167,-73.825264,"(40.675167, -73.825264)",Passing Too Closely,Unspecified,4513953,Station Wagon/Sport Utility Vehicle
03/26/2022,1:45,MANHATTAN,10065,40.761486,-73.96061,"(40.761486, -73.96061)",Driver Inattention/Distraction,Driver Inattention/Distraction,4513985,Sedan
03/26/2022,17:00,BROOKLYN,11249,40.712284,-73.964005,"(40.712284, -73.964005)",Passing or Lane Usage Improper,Unspecified,4514084,Sedan
02/25/2022,11:48,QUEENS,11432,40.70546,-73.7949,"(40.70546, -73.7949)",Following Too Closely,Following Too Closely,4514144,E-Scooter
03/26/2022,22:51,,,40.74967,-73.99531,"(40.74967, -73.99531)",Failure to Yield Right-of-Way,,4513606,Sedan
03/26/2022,8:21,MANHATTAN,10032,40.833786,-73.94037,"(40.833786, -73.94037)",Driver Inattention/Distraction,Unspecified,4513564,Box Truck
03/17/2022,8:00,,,40.67794,-73.8023,"(40.67794, -73.8023)",Traffic Control Disregarded,Unspecified,4514412,Sedan
03/26/2022,10:30,BROOKLYN,11220,40.637985,-74.0076,"(40.637985, -74.0076)",Backing Unsafely,Unspecified,4513587,Station Wagon/Sport Utility Vehicle
12/16/2021,9:23,,,,,,Unspecified,Unspecified,4487185,Station Wagon/Sport Utility Vehicle
03/26/2022,13:48,MANHATTAN,10032,40.835037,-73.93979,"(40.835037, -73.93979)",,,4513565,
03/25/2022,9:56,,,40.9046,-73.852936,"(40.9046, -73.852936)",Driver Inattention/Distraction,Unspecified,4514286,Station Wagon/Sport Utility Vehicle
03/26/2022,23:45,QUEENS,11104,40.742508,-73.91788,"(40.742508, -73.91788)",Driver Inattention/Distraction,Unspecified,4513637,Sedan
03/26/2022,1:26,,,,,,Unsafe Speed,Unspecified,4513528,UTILITY
03/22/2022,9:07,BROOKLYN,11238,,,,Aggressive Driving/Road Rage,,4514139,Sedan
03/26/2022,16:00,BROOKLYN,11207,40.67046,-73.88788,"(40.67046, -73.88788)",Driver Inattention/Distraction,Unspecified,4513833,Sedan
03/26/2022,23:17,MANHATTAN,10002,40.72224,-73.9863,"(40.72224, -73.9863)",Following Too Closely,Unspecified,4513887,Station Wagon/Sport Utility Vehicle
03/23/2022,9:00,,,40.67639,-73.97189,"(40.67639, -73.97189)",Traffic Control Disregarded,Unspecified,4514160,Sedan
03/26/2022,5:00,,,40.88893,-73.86579,"(40.88893, -73.86579)",Following Too Closely,Unspecified,4514002,Sedan
03/25/2022,6:15,,,40.80118,-73.93975,"(40.80118, -73.93975)",Traffic Control Disregarded,Unspecified,4514152,Sedan
03/26/2022,21:50,,,40.757668,-73.95915,"(40.757668, -73.95915)",Driver Inattention/Distraction,Driver Inattention/Distraction,4513626,Taxi
03/26/2022,21:25,BROOKLYN,11225,40.668896,-73.95339,"(40.668896, -73.95339)",Driver Inattention/Distraction,Unspecified,4513774,Station Wagon/Sport Utility Vehicle
03/25/2022,18:13,BROOKLYN,11218,40.63654,-73.97707,"(40.63654, -73.97707)",Unspecified,Unspecified,4514376,Sedan
03/26/2022,20:10,BRONX,10456,40.831055,-73.905846,"(40.831055, -73.905846)",Unspecified,,4513982,Sedan
03/25/2022,12:55,,,40.85868,-73.89922,"(40.85868, -73.89922)",Passing Too Closely,Unspecified,4514220,Station Wagon/Sport Utility Vehicle
03/23/2022,11:00,,,40.62466,-74.17856,"(40.62466, -74.17856)",Driver Inattention/Distraction,Unspecified,4514413,Station Wagon/Sport Utility Vehicle
03/26/2022,3:05,BROOKLYN,11236,40.63947,-73.902756,"(40.63947, -73.902756)",Unspecified,,4513664,Sedan
03/26/2022,4:34,BRONX,10468,40.86173,-73.91182,"(40.86173, -73.91182)",Unspecified,,4513725,Station Wagon/Sport Utility Vehicle
03/26/2022,19:56,BROOKLYN,11201,40.69538,-73.985115,"(40.69538, -73.985115)",Unspecified,,4514298,Sedan
03/26/2022,12:40,BROOKLYN,11219,40.63063,-74.00923,"(40.63063, -74.00923)",Unspecified,Unspecified,4513573,Sedan
03/26/2022,1:58,BRONX,10472,40.82707,-73.87075,"(40.82707, -73.87075)",Turning Improperly,Unspecified,4514201,Sedan
03/26/2022,19:56,,,40.60548,-73.93922,"(40.60548, -73.93922)",Unspecified,Unspecified,4514030,Station Wagon/Sport Utility Vehicle
03/26/2022,0:30,BROOKLYN,11221,40.692593,-73.91551,"(40.692593, -73.91551)",Unspecified,Unspecified,4514125,Station Wagon/Sport Utility Vehicle
03/16/2022,15:44,MANHATTAN,10017,,,,Unspecified,,4514194,Bike
03/26/2022,20:05,BROOKLYN,11207,40.680664,-73.902626,"(40.680664, -73.902626)",Driver Inattention/Distraction,Unspecified,4514278,Sedan
03/26/2022,17:54,BROOKLYN,11226,40.645718,-73.95002,"(40.645718, -73.95002)",Passing Too Closely,Unspecified,4513803,Sedan
03/25/2022,17:55,,,40.68327,-73.95016,"(40.68327, -73.95016)",Traffic Control Disregarded,Unspecified,4514241,Sedan
12/12/2021,9:09,,,40.84036,-73.91807,"(40.84036, -73.91807)",Unspecified,,4487210,Taxi
04/13/2021,16:00,BROOKLYN,11222,,,,Following Too Closely,Unspecified,4407811,Sedan
8/05/2021,18:17,,,,,,Glare,Unspecified,4456746,Sedan
03/26/2022,16:35,BROOKLYN,11235,40.577652,-73.96344,"(40.577652, -73.96344)",Driver Inattention/Distraction,Unspecified,4513878,Station Wagon/Sport Utility Vehicle
03/26/2022,19:50,MANHATTAN,10012,40.730145,-73.99781,"(40.730145, -73.99781)",Passenger Distraction,Unspecified,4513735,E-Bike
03/26/2022,13:19,QUEENS,11420,40.67478,-73.806206,"(40.67478, -73.806206)",Failure to Yield Right-of-Way,Unspecified,4513958,Station Wagon/Sport Utility Vehicle
03/25/2022,8:45,BROOKLYN,11230,40.624622,-73.97598,"(40.624622, -73.97598)",Unspecified,Unspecified,4514367,Sedan
03/26/2022,10:10,BROOKLYN,11217,40.67271,-73.97089,"(40.67271, -73.97089)",Passing or Lane Usage Improper,Unspecified,4513681,Station Wagon/Sport Utility Vehicle
03/26/2022,11:45,,,40.7314,-73.926094,"(40.7314, -73.926094)",Reaction to Uninvolved Vehicle,Driver Inattention/Distraction,4514212,Station Wagon/Sport Utility Vehicle
03/25/2022,14:35,,,40.632786,-74.13712,"(40.632786, -74.13712)",Failure to Yield Right-of-Way,,4514420,Sedan
03/26/2022,14:30,STATEN ISLAND,10305,40.596733,-74.07045,"(40.596733, -74.07045)",Backing Unsafely,Unspecified,4513923,Sedan
03/26/2022,19:00,BROOKLYN,11234,40.617645,-73.92092,"(40.617645, -73.92092)",Backing Unsafely,Unspecified,4513752,Sedan
03/26/2022,2:05,,,,,,Driver Inattention/Distraction,Unspecified,4513924,Taxi
03/26/2022,16:40,BROOKLYN,11217,40.68651,-73.98378,"(40.68651, -73.98378)",Passing or Lane Usage Improper,Unspecified,4513860,Station Wagon/Sport Utility Vehicle
03/24/2022,18:05,BROOKLYN,11206,40.69831,-73.9498,"(40.69831, -73.9498)",Driver Inattention/Distraction,Unspecified,4514251,Sedan
03/26/2022,3:35,,,40.692455,-73.76814,"(40.692455, -73.76814)",Reaction to Uninvolved Vehicle,Unspecified,4513478,Sedan
03/20/2022,10:34,MANHATTAN,10024,40.778805,-73.974075,"(40.778805, -73.974075)",Backing Unsafely,,4514302,Sedan
03/26/2022,14:54,MANHATTAN,10001,40.747894,-73.989174,"(40.747894, -73.989174)",Passing or Lane Usage Improper,Unspecified,4513708,Sedan
03/25/2022,6:35,BRONX,10472,40.83578,-73.871445,"(40.83578, -73.871445)",Following Too Closely,Unspecified,4514189,Station Wagon/Sport Utility Vehicle
03/25/2022,14:00,,,40.61763,-74.133575,"(40.61763, -74.133575)",Driver Inattention/Distraction,Unspecified,4514419,Station Wagon/Sport Utility Vehicle
03/21/2022,19:13,,,40.731407,-73.99698,"(40.731407, -73.99698)",Driver Inattention/Distraction,Unspecified,4514234,Sedan
03/26/2022,5:02,BROOKLYN,11223,40.60784,-73.961975,"(40.60784, -73.961975)",Fell Asleep,Unspecified,4513496,Station Wagon/Sport Utility Vehicle
03/25/2022,9:45,,,40.752563,-73.74328,"(40.752563, -73.74328)",Unspecified,Unspecified,4514266,Station Wagon/Sport Utility Vehicle
03/26/2022,22:54,BROOKLYN,11217,40.67848,-73.98232,"(40.67848, -73.98232)",Failure to Yield Right-of-Way,Unspecified,4513680,Taxi
03/26/2022,21:00,BROOKLYN,11219,40.629475,-74.004166,"(40.629475, -74.004166)",Driver Inattention/Distraction,Unspecified,4513861,Sedan
03/26/2022,17:29,BROOKLYN,11213,40.668797,-73.93113,"(40.668797, -73.93113)",Driver Inattention/Distraction,Unspecified,4514326,Station Wagon/Sport Utility Vehicle
03/26/2022,2:10,MANHATTAN,10018,40.754707,-73.99164,"(40.754707, -73.99164)",Failure to Yield Right-of-Way,Unspecified,4513739,Bike
03/25/2022,0:00,BRONX,10458,40.85713,-73.8808,"(40.85713, -73.8808)",Driver Inattention/Distraction,Unspecified,4514180,Station Wagon/Sport Utility Vehicle
03/26/2022,4:00,BRONX,10468,40.857418,-73.89996,"(40.857418, -73.89996)",Unsafe Speed,Unspecified,4514209,Station Wagon/Sport Utility Vehicle
03/26/2022,4:34,QUEENS,11385,40.702972,-73.888054,"(40.702972, -73.888054)",Unsafe Speed,,4513795,Sedan
3/09/2022,11:56,,,40.786366,-73.97598,"(40.786366, -73.97598)",Failure to Yield Right-of-Way,,4514297,Station Wagon/Sport Utility Vehicle
03/26/2022,14:41,BROOKLYN,11228,40.624474,-74.00668,"(40.624474, -74.00668)",Passing or Lane Usage Improper,Unspecified,4513572,Station Wagon/Sport Utility Vehicle
03/26/2022,18:00,QUEENS,11361,40.76532,-73.771904,"(40.76532, -73.771904)",Unspecified,Unspecified,4513591,Sedan
03/26/2022,13:30,,,40.597683,-73.96686,"(40.597683, -73.96686)",Driver Inattention/Distraction,Unspecified,4514011,Sedan
03/26/2022,13:20,STATEN ISLAND,10305,40.609768,-74.06969,"(40.609768, -74.06969)",Traffic Control Disregarded,Unspecified,4513701,Station Wagon/Sport Utility Vehicle
03/25/2022,21:35,MANHATTAN,10035,40.798286,-73.938705,"(40.798286, -73.938705)",Following Too Closely,Unspecified,4514155,Taxi
03/23/2022,21:00,QUEENS,11354,40.776764,-73.848015,"(40.776764, -73.848015)",Unspecified,,4514334,Sedan
03/26/2022,12:00,QUEENS,11377,40.747498,-73.91309,"(40.747498, -73.91309)",Unspecified,,4513548,Sedan
03/26/2022,13:28,BROOKLYN,11206,40.701637,-73.942276,"(40.701637, -73.942276)",Following Too Closely,Unspecified,4514046,Station Wagon/Sport Utility Vehicle
03/26/2022,19:12,QUEENS,11419,40.69349,-73.826546,"(40.69349, -73.826546)",Unsafe Speed,Unspecified,4513581,Station Wagon/Sport Utility Vehicle
03/26/2022,21:29,QUEENS,11374,40.726463,-73.85943,"(40.726463, -73.85943)",Unsafe Speed,,4513772,Bike
03/25/2022,13:21,BRONX,10458,40.856434,-73.886826,"(40.856434, -73.886826)",Driver Inattention/Distraction,Driver Inattention/Distraction,4514221,Sedan
03/22/2022,8:20,BRONX,10467,40.87151,-73.87057,"(40.87151, -73.87057)",Turning Improperly,Unspecified,4514277,Sedan
03/26/2022,22:30,BROOKLYN,11238,40.68686,-73.96758,"(40.68686, -73.96758)",Passing or Lane Usage Improper,Unspecified,4514166,Sedan
